rID,flood,coords_x,coords_y,aspect,dem,land,plan,pre,riverdis,roaddis,slope,soil,twi,Target_Ris
135,1,229860,3863350,225,1805,5,0,376,553,1914,1,8,14,5
136,1,228933,3868520,270,1811,5,0,374,0,2655,0,11,14,5
137,1,230521,3871690,206,1826,5,1,372,553,1593,1,8,6,5
138,1,230257,3875270,168,1811,5,-7,372,782,3400,1,NA,6,5
139,1,234625,3874470,302,1940,3,8,369,1565,531,4,NA,10,4
140,1,230389,3849850,270,1526,10,0,381,782,1502,0,2,0,5
141,1,228933,3844820,206,1507,10,2,384,553,3096,1,11,9,5
142,1,250673,3809740,349,1961,6,0,390,553,7547,18,2,15,1
143,1,261232,3816200,67,1977,6,-3,380,1660,8563,6,8,7,2
144,1,233196,3806280,270,1494,10,-7,401,1565,751,0,10,12,5
145,1,225094,3792170,105,2057,6,1,412,553,9690,19,11,12,1
146,1,235653,3783340,3,1963,8,0,412,782,8579,37,12,12,2
147,1,238657,3784340,296,1712,12,0,410,0,6924,8,8,0,4
148,1,238202,3781340,284,2058,8,0,412,553,8563,27,12,12,1
149,1,247760,3779150,296,2002,3,0,410,1565,6717,14,11,12,1
150,1,251037,3778150,315,1934,3,0,410,553,7603,6,11,0,3
151,1,288905,3779610,347,2188,6,0,397,1660,4248,3,2,10,3
152,1,283807,3783800,146,1975,3,0,395,2822,1914,3,NA,12,4
153,1,291363,3792260,63,1777,5,0,383,0,0,2,2,13,5
154,1,304380,3806650,168,1992,3,2,366,4323,6394,1,2,0,3
155,1,286538,3810830,-1,1685,5,1,372,553,0,0,6,11,5
156,1,309932,3804190,245,1949,3,-3,365,553,2859,2,2,9,4
157,1,300010,3803100,302,1920,3,0,369,2981,4537,3,2,9,3
158,1,302923,3805100,32,2041,9,0,367,2822,6394,7,2,5,2
159,1,307839,3803370,270,1889,5,0,366,0,1914,0,2,4,4
160,1,311298,3801550,225,1937,5,0,366,553,531,0,2,4,5
161,1,308931,3799550,348,1937,3,0,368,1237,1593,8,2,10,4
162,1,303196,3800000,45,1901,3,8,370,1107,2124,2,2,5,4
163,1,300921,3790720,-1,1756,5,-8,376,0,2253,0,6,2,5
164,1,291363,3797450,0,1717,5,0,378,1237,0,0,6,5,5
